"version","World Size","iterations","threads","block size x","block size y","time"
"cuda","256","3",1,"32","32","0.299669"
"omp","64","1","8",0,0,"0.0382785"
"cuda","8","1",1,"16","16","0.3"
"cuda","32","2",1,"24","16","0.592808"
"cuda","256","2",1,"8","8","0.295589"
"omp","64","3","5",0,0,"0.0653005"
"cuda","256","3",1,"64","64","launching update_cell_kernel: invalid configuration argu"
"cuda","16","1",1,"64","64","launching update_cell_kernel: invalid configuration argu"
"cuda","128","3",1,"8","8","0.309671"
"omp","64","3","8",0,0,"0.0389917"
"cuda","64","3",1,"16","16","0.297612"
"cuda","16","3",1,"8","64","0.306216"
"cuda","32","2",1,"32","24","0.299406"
"cuda","64","1",1,"8","16","0.337871"
"cuda","256","3",1,"8","8","0.407594"
"cuda","128","1",1,"8","64","0.292439"
"cuda","128","1",1,"64","32","launching update_cell_kernel: invalid configuration argu"
"omp","8","1","2",0,0,"0.00201088"
"cuda","16","3",1,"64","16","0.29577"
"cuda","8","2",1,"32","32","0.289493"
"cuda","32","1",1,"64","64","launching update_cell_kernel: invalid configuration argu"
"cuda","8","2",1,"64","24","launching update_cell_kernel: invalid configuration argu"
"cuda","128","3",1,"64","16","0.302759"
"cuda","16","1",1,"8","64","0.319692"
"cuda","16","1",1,"24","24","0.301212"
"cuda","64","3",1,"8","24","0.296651"
"cuda","16","1",1,"24","8","0.329806"
"cuda","256","1",1,"16","64","0.370344"
"cuda","16","3",1,"8","24","0.275128"
"cuda","32","3",1,"16","64","0.517528"
"omp","16","3","1",0,0,"0.00864321"
"cuda","16","3",1,"24","16","0.238779"
"cuda","128","3",1,"32","8","0.298898"
"cuda","16","1",1,"32","32","0.279168"
"cuda","128","1",1,"32","8","0.288376"
"cuda","128","2",1,"32","16","0.282151"
"cuda","16","1",1,"16","8","0.291455"
"omp","256","1","1",0,0,"2.3631"
"cuda","16","1",1,"32","16","0.298154"
"omp","32","2","8",0,0,"0.0126203"
"omp","128","2","8",0,0,"0.140643"
"cuda","32","2",1,"8","24","0.302384"
"cuda","16","2",1,"8","8","0.424488"
